News_Org,Created_Dt,Text,Compound,Positive,Neutral,Negative,Tweet_Count
BBCWorld,2018-09-28 12:57:10+00:00,"RT @BBCNews: 'The facial reconstruction that changed my life after bone cancer'

https://t.co/1ecgm8X4CW https://t.co/VHV1356Rru",-0.6597,0.0,0.747,0.253,58
BBCWorld,2018-09-28 12:54:29+00:00,RT @BBCBreaking: Danish police seal off bridges and ferries to Sweden and Germany in a major operation https://t.co/uvVH4ANjHm,0.0,0.0,1.0,0.0,59
BBCWorld,2018-09-28 12:26:24+00:00,"Brett Kavanaugh: Senate committee due to vote on Supreme Court nominee 

https://t.co/lFaAiBBbVN #kavanaughhearings",0.5574,0.231,0.769,0.0,60
BBCWorld,2018-09-28 12:21:44+00:00,European warnings over Italy's populist budget https://t.co/9EX9mjswwY,-0.296,0.0,0.732,0.268,61
BBCWorld,2018-09-28 11:49:14+00:00,RT @BBCAfrica: Senegal's sand painter: Creating beauty with grains of sand https://t.co/tsPHeAxvrE https://t.co/MFF8lNr5Bg,0.7184,0.353,0.647,0.0,62
BBCWorld,2018-09-28 11:46:26+00:00,Ethiopia attack: Five charged for trying to kill PM Abiy Ahmed https://t.co/5ZIEKHu0Ip,-0.8625,0.0,0.484,0.516,63
BBCWorld,2018-09-28 11:31:22+00:00,"RT @BBCNews: Bless you, deer 🦌 https://t.co/7SMx5joISa",0.4215,0.318,0.682,0.0,64
BBCWorld,2018-09-28 10:26:58+00:00,Iran mocks new nuclear claims by Israel's PM https://t.co/fIRZPmG5mY,-0.4588,0.0,0.727,0.273,65
BBCWorld,2018-09-28 10:02:10+00:00,"RT @BBCNews: #KavanaughHearings: The nomination, the allegations, and why it matters (in 300 words) 

https://t.co/WFrzrhvDus",0.0258,0.073,0.927,0.0,66
BBCWorld,2018-09-28 09:39:11+00:00,First human case of rat hepatitis found in Hong Kong https://t.co/ABQ9OQM0YY,0.0,0.0,1.0,0.0,67
BBCWorld,2018-09-28 09:19:34+00:00,"#BelieveWomen v #BackBrett

Social media reacts to #KavanaughHearings https://t.co/TXPtPZkTh4",0.0,0.0,1.0,0.0,68
BBCWorld,2018-09-28 09:18:49+00:00,.@ArianaGrande tweet worries fans https://t.co/qAK8JZ9Qbc,-0.4215,0.0,0.588,0.412,69
BBCWorld,2018-09-28 09:17:05+00:00,"RT @BBCSport: The second match is red for the first time, courtesy of Rickie Fowler.

#RyderCup live @5liveSport 
👉 https://t.co/KNp9oCIyiX…",0.3612,0.102,0.898,0.0,70
BBCWorld,2018-09-28 08:50:30+00:00,#KavanaughHearings divide US media https://t.co/BD20kT7YTo,0.0,0.0,1.0,0.0,71
BBCWorld,2018-09-28 08:36:49+00:00,"Forget what you thought you knew about Baby Shark (doo doo doo doo doo doo)

This German woman was the original vir… https://t.co/x9hOgEeIS2",0.1027,0.091,0.833,0.075,72
BBCWorld,2018-09-28 07:34:59+00:00,Protests as Germany welcomes Turkey's Erdogan https://t.co/9ZIUcOFlSj,0.2023,0.281,0.521,0.198,73
BBCWorld,2018-09-28 07:32:08+00:00,RT @SallyBundockBBC: Do you feel you are penalised for loyalty? Is this an issue outside of the UK as well? Get in touch #BBCBizLive - @VFr…,0.7149,0.206,0.794,0.0,74
BBCWorld,2018-09-28 07:15:21+00:00,"New name, same country? A choice for Macedonians https://t.co/LwswWrq67u",0.0,0.0,1.0,0.0,75
BBCWorld,2018-09-28 07:08:23+00:00,"Woman, 75, dies after being hit by lorry in County Monaghan https://t.co/inkYmEOdlM",0.0,0.0,1.0,0.0,76
BBCWorld,2018-09-28 06:39:15+00:00,"RT @BBCSport: First blood goes to #TeamEurope as Justin Rose birdies the opening hole!

#RyderCup live @5liveSport 
👉 https://t.co/KNp9oCIy…",0.0,0.0,1.0,0.0,77
BBCWorld,2018-09-28 06:27:54+00:00,Australia banking inquiry: Misconduct 'driven by greed' https://t.co/Y04bCee7yt,-0.4019,0.0,0.722,0.278,78
BBCWorld,2018-09-28 05:47:53+00:00,Sabarimala temple: India's top court revokes ban on women https://t.co/sCavF73f9h,-0.4215,0.134,0.597,0.269,79
BBCWorld,2018-09-28 03:29:09+00:00,Kavanaugh hearings: A moment of reckoning for American women https://t.co/DBPVIHe2gc,0.0,0.0,1.0,0.0,80
BBCWorld,2018-09-28 02:27:55+00:00,Papua New Guinea plane comes down in Micronesia lagoon https://t.co/yd6eW12499,0.0,0.0,1.0,0.0,81
BBCWorld,2018-09-27 23:29:39+00:00,Idlib hospitals at breaking point in last rebel stronghold https://t.co/adeRpQgd7n,-0.0258,0.135,0.721,0.144,82
BBCWorld,2018-09-27 23:25:48+00:00,Africa's week in pictures: 21-27 September 2018 https://t.co/inLAMj4pQL,0.0,0.0,1.0,0.0,83
BBCWorld,2018-09-27 23:02:49+00:00,Change of identity: Macedonians to vote on new name https://t.co/1xfcpuZAvM,0.0,0.0,1.0,0.0,84
BBCWorld,2018-09-27 22:01:37+00:00,US Supreme Court nominee Brett Kavanaugh insists he is innocent of sexual assault allegations in emotional testimon… https://t.co/sEPUeL5rIH,0.4215,0.299,0.551,0.15,85
BBCWorld,2018-09-27 21:59:32+00:00,"RT @awzurcher: This is like the end of a heavyweight prize fight, when both sides are barely standing and they just lean into each other an…",0.4939,0.191,0.724,0.086,86
BBCWorld,2018-09-27 21:53:07+00:00,"US Supreme Court nominee Brett Kavanaugh opened his testimony by saying that his nomination had sparked a ""frenzy o… https://t.co/IVlLLqGSpi",0.3182,0.157,0.742,0.1,87
BBCWorld,2018-09-27 21:49:14+00:00,Canada MPs vote to strip Aung San Suu Kyi of honorary citizenship https://t.co/NsL18oWJb2,0.34,0.167,0.833,0.0,88
BBCWorld,2018-09-27 21:30:21+00:00,Brett Kavanaugh denies Christine Blasey Ford sex assault claim https://t.co/i0EILgHDdO,-0.765,0.0,0.548,0.452,89
BBCWorld,2018-09-27 21:02:24+00:00,"""This is not a job interview, this is hell"" - Senator Lindsey Graham offers strong support to US Supreme Court nomi… https://t.co/gl2TG2WICz",0.6124,0.318,0.53,0.152,90
BBCWorld,2018-09-27 20:52:01+00:00,"Tense exchanges as Brett Kavanaugh faces questions in front of Senate Judiciary Committee, after denying allegation… https://t.co/2CyGyZxKsb",-0.5859,0.0,0.758,0.242,91
